"source_file","section_header","control_id","control_description","supplemental_guidance","miscellaneous","extraction_source","purpose","scope","applicability"
"Encryption_Policy_POL-ENC-2026-008.docx","Appendix E - Revision History","ENC04.001","ENC04.001 Key Rotation Schedule Symmetric keys used for CUI encryption shall be rotated annually or immediately upon suspected compromise. TLS certificates shall be rotated annually. Key rotation events shall be logged in the key management system and reported to the ISSO within 48 hours of completion. SC-12 Implemented Security Engineering","","","Table","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program."
"Encryption_Policy_POL-ENC-2026-008.docx","Appendix E - Revision History","ENC04.002","ENC04.002 Key Revocation and Destruction Compromised or expired keys shall be revoked and destroyed within 4 hours of determination. Destruction shall use NIST SP 800-88 approved methods. Certificate revocation shall update the organizational CRL within 1 hour. Destruction events are documented per Appendix A, Section 5. SC-12 Implemented Security Engineering Protocol Version Use Case Notes TLS 1.2, 1.3 All web and API traffic 1.3 preferred. FIPS cipher suites only. SSH 2.0 Administrative access RSA 3072-bit or ECDSA P-384 keys only. IPSec / IKEv2 IKEv2 VPN tunnels","","","Table","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program."
"Encryption_Policy_POL-ENC-2026-008.docx","Appendix E - Revision History","ACC02.001","AES-256-GCM, SHA-384. See ACC02.001. S/MIME 3.2+ Email encryption","","","Table","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program."
"Encryption_Policy_POL-ENC-2026-008.docx","Appendix E - Revision History","ENC02.002","Required for CUI email. See ENC02.002. HTTPS via TLS 1.2+ Web applications HSTS enforced with 1-year max-age. Version Date Author Changes 2.2 01/15/2026 S. Nakamura, Security Eng.","","","Table","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program."
"Encryption_Policy_POL-ENC-2026-008.docx","Appendix E - Revision History","ENC05.001","Added ENC05.001-002 for High-impact systems. Appendix C expanded. 2.1 07/01/2025 S. Nakamura, Security Eng. Updated TLS requirements to mandate 1.3 preference. Removed TLS 1.1. 2.0 01/20/2025 M. Johnson Aligned to FIPS 140-3. Replaced FIPS 140-2 references throughout.","","","Table","This policy establishes the cryptographic requirements for protecting organizational data at rest and in transit. It defines approved algorithms, key management procedures, and implementation requirements for all information systems operated by the organization. This policy implements NIST SP 800-111, NIST SP 800-52 Rev 2, and FIPS 140-3 requirements. For a plain-language overview of federal cryptographic standards, see the NIST Cryptographic Standards and Guidelines portal.","","This policy applies to all information systems, applications, and data stores that process, transmit, or store CUI, PII, or data classified at FIPS 199 Moderate or High impact levels. It applies to all personnel with system administration, development, or data handling responsibilities. BYOD encryption requirements are addressed in conjunction with the Mobile Device Management Policy. For cloud-specific encryption inheritance, refer to the FedRAMP authorization documentation for each cloud service in use. For current FIPS 140-3 validated module listings, see the NIST Cryptographic Module Validation Program."
"Incident_Response_Policy_POL-IR-2026-003.docx","Appendix A - References","IRP10.001","IRP10.001 The organization shall maintain an incident response plan that is reviewed and updated annually. IR-1 Implemented","","","Table","1.0 Purpose This policy defines the requirements and procedures for identifying, reporting, containing, and recovering from information security incidents affecting organizational information systems and data.","2.0 Scope","This policy applies to all information security incidents involving organizational systems, whether hosted on-premises, in cloud environments, or managed by third-party service providers. For the definition of what constitutes a reportable incident, refer to Section 4 of this document."
"Incident_Response_Policy_POL-IR-2026-003.docx","Appendix A - References","IRP10.002","IRP10.002 Incident response training shall be provided to all SOC personnel within 30 days of onboarding and annually thereafter. IR-2 Implemented","","","Table","1.0 Purpose This policy defines the requirements and procedures for identifying, reporting, containing, and recovering from information security incidents affecting organizational information systems and data.","2.0 Scope","This policy applies to all information security incidents involving organizational systems, whether hosted on-premises, in cloud environments, or managed by third-party service providers. For the definition of what constitutes a reportable incident, refer to Section 4 of this document."
"Incident_Response_Policy_POL-IR-2026-003.docx","Appendix A - References","IRP11.001","IRP11.001 Incident response testing shall be conducted at least annually through tabletop exercises or functional drills. IR-3 Implemented","","","Table","1.0 Purpose This policy defines the requirements and procedures for identifying, reporting, containing, and recovering from information security incidents affecting organizational information systems and data.","2.0 Scope","This policy applies to all information security incidents involving organizational systems, whether hosted on-premises, in cloud environments, or managed by third-party service providers. For the definition of what constitutes a reportable incident, refer to Section 4 of this document."
"Incident_Response_Policy_POL-IR-2026-003.docx","Appendix A - References","IRP11.002","IRP11.002 Automated incident detection mechanisms shall be deployed on all boundary and critical systems. IR-4 Partially Implemented","","","Table","1.0 Purpose This policy defines the requirements and procedures for identifying, reporting, containing, and recovering from information security incidents affecting organizational information systems and data.","2.0 Scope","This policy applies to all information security incidents involving organizational systems, whether hosted on-premises, in cloud environments, or managed by third-party service providers. For the definition of what constitutes a reportable incident, refer to Section 4 of this document."
"Incident_Response_Policy_POL-IR-2026-003.docx","Appendix A - References","IRP12.001","IRP12.001 All confirmed incidents shall be reported to CISA in accordance with federal reporting timelines. See the CISA Incident Reporting Guide referenced in Appendix A. IR-6 Implemented","","","Table","1.0 Purpose This policy defines the requirements and procedures for identifying, reporting, containing, and recovering from information security incidents affecting organizational information systems and data.","2.0 Scope","This policy applies to all information security incidents involving organizational systems, whether hosted on-premises, in cloud environments, or managed by third-party service providers. For the definition of what constitutes a reportable incident, refer to Section 4 of this document."
"Incident_Response_example demo-2026-003 copy.docx","Controls","IRP02.001","The following controls govern incident response operations. All controls map to NIST SP 800-53 Rev 5. Appendix C contains the severity classification matrix referenced by IRP02.001.","","","Text","This policy establishes the incident response requirements for all information systems operated by the organization. It defines the processes, responsibilities, and technical controls necessary to detect, contain, eradicate, and recover from cybersecurity incidents affecting organizational assets and data. For NIST IR control family guidance, see the NIST SP 800-61 Rev 3 overview.","","This policy applies to all employees, contractors, and third-party personnel who operate or support organizational IT systems. It covers all incidents affecting systems classified as FIPS 199 Low, Moderate, or High. For personnel onboarding requirements related to IR awareness, refer to the Security Awareness Training resources. Mobile device incidents are addressed in conjunction with the Mobile Device Management Policy. Cloud-specific incident procedures are addressed in Appendix A, Section 3."
"Incident_Response_example demo-2026-003 copy.docx","Appendix G - Revision History","IRP01.001","IRP01.001 IR Plan Development The organization shall develop and maintain a formal incident response plan reviewed annually. See Appendix A for the IR plan template. IR-8 Implemented IR Team","","","Table","This policy establishes the incident response requirements for all information systems operated by the organization. It defines the processes, responsibilities, and technical controls necessary to detect, contain, eradicate, and recover from cybersecurity incidents affecting organizational assets and data. For NIST IR control family guidance, see the NIST SP 800-61 Rev 3 overview.","","This policy applies to all employees, contractors, and third-party personnel who operate or support organizational IT systems. It covers all incidents affecting systems classified as FIPS 199 Low, Moderate, or High. For personnel onboarding requirements related to IR awareness, refer to the Security Awareness Training resources. Mobile device incidents are addressed in conjunction with the Mobile Device Management Policy. Cloud-specific incident procedures are addressed in Appendix A, Section 3."
"Incident_Response_example demo-2026-003 copy.docx","Appendix G - Revision History","IRP01.002","IRP01.002 IR Team Activation The IR team shall be activated within 1 hour of a P1 incident declaration. Refer to Appendix B for escalation contacts. IR-4 Implemented SOC","","","Table","This policy establishes the incident response requirements for all information systems operated by the organization. It defines the processes, responsibilities, and technical controls necessary to detect, contain, eradicate, and recover from cybersecurity incidents affecting organizational assets and data. For NIST IR control family guidance, see the NIST SP 800-61 Rev 3 overview.","","This policy applies to all employees, contractors, and third-party personnel who operate or support organizational IT systems. It covers all incidents affecting systems classified as FIPS 199 Low, Moderate, or High. For personnel onboarding requirements related to IR awareness, refer to the Security Awareness Training resources. Mobile device incidents are addressed in conjunction with the Mobile Device Management Policy. Cloud-specific incident procedures are addressed in Appendix A, Section 3."
"Incident_Response_example demo-2026-003 copy.docx","Appendix G - Revision History","IRP02.001","IRP02.001 Incident Classification All incidents shall be classified per the severity matrix in Appendix C before response actions begin. IR-5 Implemented SOC","","","Table","This policy establishes the incident response requirements for all information systems operated by the organization. It defines the processes, responsibilities, and technical controls necessary to detect, contain, eradicate, and recover from cybersecurity incidents affecting organizational assets and data. For NIST IR control family guidance, see the NIST SP 800-61 Rev 3 overview.","","This policy applies to all employees, contractors, and third-party personnel who operate or support organizational IT systems. It covers all incidents affecting systems classified as FIPS 199 Low, Moderate, or High. For personnel onboarding requirements related to IR awareness, refer to the Security Awareness Training resources. Mobile device incidents are addressed in conjunction with the Mobile Device Management Policy. Cloud-specific incident procedures are addressed in Appendix A, Section 3."
"Incident_Response_example demo-2026-003 copy.docx","Appendix G - Revision History","IRP02.002","IRP02.002 Evidence Preservation Digital evidence shall be preserved per the chain-of-custody procedures in Appendix D. Refer to Section 4.2 for legal hold requirements. IR-4(1) Implemented Forensics","","","Table","This policy establishes the incident response requirements for all information systems operated by the organization. It defines the processes, responsibilities, and technical controls necessary to detect, contain, eradicate, and recover from cybersecurity incidents affecting organizational assets and data. For NIST IR control family guidance, see the NIST SP 800-61 Rev 3 overview.","","This policy applies to all employees, contractors, and third-party personnel who operate or support organizational IT systems. It covers all incidents affecting systems classified as FIPS 199 Low, Moderate, or High. For personnel onboarding requirements related to IR awareness, refer to the Security Awareness Training resources. Mobile device incidents are addressed in conjunction with the Mobile Device Management Policy. Cloud-specific incident procedures are addressed in Appendix A, Section 3."
"Incident_Response_example demo-2026-003 copy.docx","Appendix G - Revision History","IRP03.001","IRP03.001 Incident Notification Incidents affecting CUI shall be reported to US-CERT within 1 hour of detection per CISA requirements. See Appendix E for notification templates. IR-6 Implemented ISSO","","","Table","This policy establishes the incident response requirements for all information systems operated by the organization. It defines the processes, responsibilities, and technical controls necessary to detect, contain, eradicate, and recover from cybersecurity incidents affecting organizational assets and data. For NIST IR control family guidance, see the NIST SP 800-61 Rev 3 overview.","","This policy applies to all employees, contractors, and third-party personnel who operate or support organizational IT systems. It covers all incidents affecting systems classified as FIPS 199 Low, Moderate, or High. For personnel onboarding requirements related to IR awareness, refer to the Security Awareness Training resources. Mobile device incidents are addressed in conjunction with the Mobile Device Management Policy. Cloud-specific incident procedures are addressed in Appendix A, Section 3."
"Incident_Response_example demo-2026-003 copy.docx","Appendix G - Revision History","IRP03.002","IRP03.002 After-Action Review A post-incident review shall be conducted within 5 business days. Findings shall feed into the risk register per the Risk Management Policy. IR-4(6) Partially Implemented IR Team","","","Table","This policy establishes the incident response requirements for all information systems operated by the organization. It defines the processes, responsibilities, and technical controls necessary to detect, contain, eradicate, and recover from cybersecurity incidents affecting organizational assets and data. For NIST IR control family guidance, see the NIST SP 800-61 Rev 3 overview.","","This policy applies to all employees, contractors, and third-party personnel who operate or support organizational IT systems. It covers all incidents affecting systems classified as FIPS 199 Low, Moderate, or High. For personnel onboarding requirements related to IR awareness, refer to the Security Awareness Training resources. Mobile device incidents are addressed in conjunction with the Mobile Device Management Policy. Cloud-specific incident procedures are addressed in Appendix A, Section 3."
"Incident_Response_example demo-2026-003 copy.docx","Appendix G - Revision History","IRP04.001","IRP04.001 Forensic Capability The organization shall maintain forensic tools and trained personnel capable of analyzing endpoints, network logs, and cloud environments. IR-4(14) Implemented Forensics","","","Table","This policy establishes the incident response requirements for all information systems operated by the organization. It defines the processes, responsibilities, and technical controls necessary to detect, contain, eradicate, and recover from cybersecurity incidents affecting organizational assets and data. For NIST IR control family guidance, see the NIST SP 800-61 Rev 3 overview.","","This policy applies to all employees, contractors, and third-party personnel who operate or support organizational IT systems. It covers all incidents affecting systems classified as FIPS 199 Low, Moderate, or High. For personnel onboarding requirements related to IR awareness, refer to the Security Awareness Training resources. Mobile device incidents are addressed in conjunction with the Mobile Device Management Policy. Cloud-specific incident procedures are addressed in Appendix A, Section 3."
"Incident_Response_example demo-2026-003 copy.docx","Appendix G - Revision History","IRP04.002","IRP04.002 Tabletop Exercises IR tabletop exercises shall be conducted semi-annually. Results shall be documented and stored in SharePoint per Appendix F. IR-3(2) Implemented IR Team Level Name Definition Notification SLA Response SLA P1 Critical Active exfiltration or system compromise. CUI at risk. 1 hour to US-CERT Immediate activation P2 High Confirmed malware, unauthorized privileged access. 4 hours internal 2 hours P3 Medium Suspected compromise, policy violation with data risk. 24 hours internal 8 business hours P4 Low Policy violation, no data impact, no active threat. 72 hours internal Next business day Version Date Author Changes 2.1 01/01/2026 R. Torres, ISSO Added cloud-specific IR procedures to Appendix A 2.0 07/15/2025 R. Torres, ISSO Major revision for EO 14028 compliance 1.2 01/10/2025 M. Johnson Updated US-CERT notification timelines","","","Table","This policy establishes the incident response requirements for all information systems operated by the organization. It defines the processes, responsibilities, and technical controls necessary to detect, contain, eradicate, and recover from cybersecurity incidents affecting organizational assets and data. For NIST IR control family guidance, see the NIST SP 800-61 Rev 3 overview.","","This policy applies to all employees, contractors, and third-party personnel who operate or support organizational IT systems. It covers all incidents affecting systems classified as FIPS 199 Low, Moderate, or High. For personnel onboarding requirements related to IR awareness, refer to the Security Awareness Training resources. Mobile device incidents are addressed in conjunction with the Mobile Device Management Policy. Cloud-specific incident procedures are addressed in Appendix A, Section 3."
"Privacy_PII_Handling_Policy_POL-PII-2026-012.docx","Scope","PII04.002","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer.","","","Text","This policy establishes the requirements for collecting, processing, storing, transmitting, and disposing of personally identifiable information (PII) across all organizational systems and operations. It implements the Privacy Act of 1974, OMB Circular A-130 Appendix II, and NIST SP 800-122 requirements for federal PII protection. For the NIST PII definition and categorization framework, see NIST SP 800-122 Guide to Protecting PII. For OMB privacy policy requirements applicable to federal agencies, see OMB Circular A-130 Managing Federal Information Resources.","","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer."
"Privacy_PII_Handling_Policy_POL-PII-2026-012.docx","Section 3 - PII Collection and Minimization Controls","PII01.001","PII01.001 - Privacy Impact Assessment Requirement Requirement: Any new system, program, or significant modification to an existing system that collects, processes, or stores PII shall undergo a Privacy Impact Assessment (PIA) before deployment. PIAs shall be reviewed by the Privacy Officer and approved by the SAOP. PIAs shall be updated whenever a system change materially affects PII handling. The PIA template and completion guidance are in Appendix A. PIAs for systems collecting information from the public shall be posted publicly per OMB A-130 requirements. NIST Mapping: AR-2 Status: Implemented Owner: Privacy Officer / System Owners","","","Text","This policy establishes the requirements for collecting, processing, storing, transmitting, and disposing of personally identifiable information (PII) across all organizational systems and operations. It implements the Privacy Act of 1974, OMB Circular A-130 Appendix II, and NIST SP 800-122 requirements for federal PII protection. For the NIST PII definition and categorization framework, see NIST SP 800-122 Guide to Protecting PII. For OMB privacy policy requirements applicable to federal agencies, see OMB Circular A-130 Managing Federal Information Resources.","","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer."
"Privacy_PII_Handling_Policy_POL-PII-2026-012.docx","Section 3 - PII Collection and Minimization Controls","PII01.002","PII01.002 - PII Minimization and Purpose Limitation Requirement: Systems shall collect only the PII categories necessary to accomplish the documented mission purpose. PII collected for one purpose shall not be used for a materially different purpose without re-evaluation against the original authority and a determination that the secondary use is compatible. The PII data elements authorized for each system are documented in the PIA and the System of Records Notice (SORN) referenced in Appendix B. Unauthorized PII collection discovered during audits shall be reported to the Privacy Officer within 24 hours. NIST Mapping: DI-1, UL-1 Status: Implemented Owner: Privacy Officer / System Owners","","","Text","This policy establishes the requirements for collecting, processing, storing, transmitting, and disposing of personally identifiable information (PII) across all organizational systems and operations. It implements the Privacy Act of 1974, OMB Circular A-130 Appendix II, and NIST SP 800-122 requirements for federal PII protection. For the NIST PII definition and categorization framework, see NIST SP 800-122 Guide to Protecting PII. For OMB privacy policy requirements applicable to federal agencies, see OMB Circular A-130 Managing Federal Information Resources.","","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer."
"Privacy_PII_Handling_Policy_POL-PII-2026-012.docx","Section 4 - PII Transmission and Storage Controls","ENC01.001","The following controls govern how PII is protected during storage and transmission. These controls work in conjunction with the Encryption Policy (POL-ENC-2026-008). All PII in transit shall be encrypted per ENC02.001. All PII at rest shall be encrypted per ENC01.001 or ENC01.002 depending on the storage type. Physical PII handling requirements are in Appendix C.","","","Text","This policy establishes the requirements for collecting, processing, storing, transmitting, and disposing of personally identifiable information (PII) across all organizational systems and operations. It implements the Privacy Act of 1974, OMB Circular A-130 Appendix II, and NIST SP 800-122 requirements for federal PII protection. For the NIST PII definition and categorization framework, see NIST SP 800-122 Guide to Protecting PII. For OMB privacy policy requirements applicable to federal agencies, see OMB Circular A-130 Managing Federal Information Resources.","","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer."
"Privacy_PII_Handling_Policy_POL-PII-2026-012.docx","Section 4 - PII Transmission and Storage Controls","ENC01.002","The following controls govern how PII is protected during storage and transmission. These controls work in conjunction with the Encryption Policy (POL-ENC-2026-008). All PII in transit shall be encrypted per ENC02.001. All PII at rest shall be encrypted per ENC01.001 or ENC01.002 depending on the storage type. Physical PII handling requirements are in Appendix C.","","","Text","This policy establishes the requirements for collecting, processing, storing, transmitting, and disposing of personally identifiable information (PII) across all organizational systems and operations. It implements the Privacy Act of 1974, OMB Circular A-130 Appendix II, and NIST SP 800-122 requirements for federal PII protection. For the NIST PII definition and categorization framework, see NIST SP 800-122 Guide to Protecting PII. For OMB privacy policy requirements applicable to federal agencies, see OMB Circular A-130 Managing Federal Information Resources.","","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer."
"Privacy_PII_Handling_Policy_POL-PII-2026-012.docx","Section 4 - PII Transmission and Storage Controls","ENC02.001","The following controls govern how PII is protected during storage and transmission. These controls work in conjunction with the Encryption Policy (POL-ENC-2026-008). All PII in transit shall be encrypted per ENC02.001. All PII at rest shall be encrypted per ENC01.001 or ENC01.002 depending on the storage type. Physical PII handling requirements are in Appendix C.","","","Text","This policy establishes the requirements for collecting, processing, storing, transmitting, and disposing of personally identifiable information (PII) across all organizational systems and operations. It implements the Privacy Act of 1974, OMB Circular A-130 Appendix II, and NIST SP 800-122 requirements for federal PII protection. For the NIST PII definition and categorization framework, see NIST SP 800-122 Guide to Protecting PII. For OMB privacy policy requirements applicable to federal agencies, see OMB Circular A-130 Managing Federal Information Resources.","","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer."
"Privacy_PII_Handling_Policy_POL-PII-2026-012.docx","Section 4 - PII Transmission and Storage Controls","PII02.001","PII02.001 - PII Labeling and Handling Requirement: Documents, files, and records containing PII shall be labeled with the appropriate sensitivity marking at creation. Digital files shall use the CUI//PRVCY sensitivity label in Microsoft Purview per the DLP Standard (STD-DLP-2026-011), Appendix C. Physical documents containing PII shall be marked in accordance with the organization's physical security requirements. Unlabeled documents discovered during audits shall be evaluated by the Privacy Officer to determine if PII is present and labeled accordingly. NIST Mapping: MP-3, DI-2 Status: Implemented Owner: All Personnel","","","Text","This policy establishes the requirements for collecting, processing, storing, transmitting, and disposing of personally identifiable information (PII) across all organizational systems and operations. It implements the Privacy Act of 1974, OMB Circular A-130 Appendix II, and NIST SP 800-122 requirements for federal PII protection. For the NIST PII definition and categorization framework, see NIST SP 800-122 Guide to Protecting PII. For OMB privacy policy requirements applicable to federal agencies, see OMB Circular A-130 Managing Federal Information Resources.","","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer."
"Privacy_PII_Handling_Policy_POL-PII-2026-012.docx","Section 4 - PII Transmission and Storage Controls","PII02.002","PII02.002 - PII Sharing and Disclosure Controls Requirement: PII shall not be disclosed externally without: (a) a routine use identified in the applicable SORN, (b) written consent from the individual, (c) a court order or legal mandate, or (d) a written data sharing agreement approved by the Privacy Officer and legal counsel. Verbal disclosures of PII for law enforcement or other purposes shall be documented in writing within 24 hours. The disclosure log template is in Appendix D. For inter-agency data sharing, use the approved Data Sharing Agreement template referenced in Appendix D. NIST Mapping: AP-2, UL-2 Status: Partially Implemented Owner: Privacy Officer / Legal","","","Text","This policy establishes the requirements for collecting, processing, storing, transmitting, and disposing of personally identifiable information (PII) across all organizational systems and operations. It implements the Privacy Act of 1974, OMB Circular A-130 Appendix II, and NIST SP 800-122 requirements for federal PII protection. For the NIST PII definition and categorization framework, see NIST SP 800-122 Guide to Protecting PII. For OMB privacy policy requirements applicable to federal agencies, see OMB Circular A-130 Managing Federal Information Resources.","","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer."
"Privacy_PII_Handling_Policy_POL-PII-2026-012.docx","Appendix A - Privacy Impact Assessment Requirements and Template","PII01.001","This appendix provides the PIA template referenced in PII01.001 and two additional controls governing PIA review timelines and public posting requirements. The PIA template is available in SharePoint under Privacy Program documents.","","","Text","This policy establishes the requirements for collecting, processing, storing, transmitting, and disposing of personally identifiable information (PII) across all organizational systems and operations. It implements the Privacy Act of 1974, OMB Circular A-130 Appendix II, and NIST SP 800-122 requirements for federal PII protection. For the NIST PII definition and categorization framework, see NIST SP 800-122 Guide to Protecting PII. For OMB privacy policy requirements applicable to federal agencies, see OMB Circular A-130 Managing Federal Information Resources.","","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer."
"Privacy_PII_Handling_Policy_POL-PII-2026-012.docx","Appendix A Controls - PIA Process Requirements","PII01.001","The following controls govern the PIA process workflow for system owners and the Privacy Officer. These supplement PII01.001 with process-level requirements.","","","Text","This policy establishes the requirements for collecting, processing, storing, transmitting, and disposing of personally identifiable information (PII) across all organizational systems and operations. It implements the Privacy Act of 1974, OMB Circular A-130 Appendix II, and NIST SP 800-122 requirements for federal PII protection. For the NIST PII definition and categorization framework, see NIST SP 800-122 Guide to Protecting PII. For OMB privacy policy requirements applicable to federal agencies, see OMB Circular A-130 Managing Federal Information Resources.","","This policy applies to all systems, programs, and operations that collect or use PII from members of the public, employees, contractors, or other individuals. It applies to all personnel with access to or responsibility for systems processing PII. Third-party processors handling PII on behalf of the organization are bound by contractual privacy requirements and are subject to annual assessment per PII04.002. This policy covers PII in all formats: digital records, physical documents, audio/video recordings, and biometric data. Systems of Records subject to the Privacy Act are identified in the System of Records Notice (SORN) inventory maintained by the Privacy Officer."
